REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,9/1/2022 0:05,7924.98,160.96,TRADE
NSW1,9/1/2022 0:10,7835.75,161,TRADE
NSW1,9/1/2022 0:15,7899.66,175.74,TRADE
NSW1,9/1/2022 0:20,7807.75,156.05,TRADE
NSW1,9/1/2022 0:25,7814.37,157.79,TRADE
NSW1,9/1/2022 0:30,7798.44,157.79,TRADE
NSW1,9/1/2022 0:35,7799.52,189.18,TRADE
NSW1,9/1/2022 0:40,7746.58,161,TRADE
NSW1,9/1/2022 0:45,7743.67,151.53,TRADE
NSW1,9/1/2022 0:50,7753.41,160.96,TRADE
NSW1,9/1/2022 0:55,7740.17,151.52,TRADE
NSW1,9/1/2022 1:00,7690.58,158.06,TRADE
NSW1,9/1/2022 1:05,7659.94,151.84,TRADE
NSW1,9/1/2022 1:10,7684.99,160.96,TRADE
NSW1,9/1/2022 1:15,7613.51,158.22,TRADE
NSW1,9/1/2022 1:20,7519.84,156.1,TRADE
NSW1,9/1/2022 1:25,7490.6,153.03,TRADE
NSW1,9/1/2022 1:30,7466.34,151.58,TRADE
NSW1,9/1/2022 1:35,7487.17,160.71,TRADE
NSW1,9/1/2022 1:40,7427.46,160.75,TRADE
NSW1,9/1/2022 1:45,7418.15,161.94,TRADE
NSW1,9/1/2022 1:50,7269.16,155.29,TRADE
NSW1,9/1/2022 1:55,7307.2,160.96,TRADE
NSW1,9/1/2022 2:00,7215.09,155.47,TRADE
NSW1,9/1/2022 2:05,7164.24,156.68,TRADE
NSW1,9/1/2022 2:10,7123.12,160.96,TRADE
NSW1,9/1/2022 2:15,7077.06,156.73,TRADE
NSW1,9/1/2022 2:20,6969.74,152.2,TRADE
NSW1,9/1/2022 2:25,6972.12,153.76,TRADE
NSW1,9/1/2022 2:30,6948.85,153.79,TRADE
NSW1,9/1/2022 2:35,6895.8,160.48,TRADE
NSW1,9/1/2022 2:40,6809.44,173.55,TRADE
NSW1,9/1/2022 2:45,6855.18,160.96,TRADE
NSW1,9/1/2022 2:50,6810.62,154.18,TRADE
NSW1,9/1/2022 2:55,6795.46,159.63,TRADE
NSW1,9/1/2022 3:00,6744.87,159.42,TRADE
NSW1,9/1/2022 3:05,6745.92,160.96,TRADE
NSW1,9/1/2022 3:10,6744.81,161,TRADE
NSW1,9/1/2022 3:15,6749.16,160.96,TRADE
NSW1,9/1/2022 3:20,6744.67,159.79,TRADE
NSW1,9/1/2022 3:25,6715.56,160.96,TRADE
NSW1,9/1/2022 3:30,6733.53,160.96,TRADE
NSW1,9/1/2022 3:35,6741.14,159.33,TRADE
NSW1,9/1/2022 3:40,6673.09,159.29,TRADE
NSW1,9/1/2022 3:45,6667.4,159.63,TRADE
NSW1,9/1/2022 3:50,6666.52,161,TRADE
NSW1,9/1/2022 3:55,6675.85,160.96,TRADE
NSW1,9/1/2022 4:00,6617.72,160.96,TRADE
NSW1,9/1/2022 4:05,6642.09,155.74,TRADE
NSW1,9/1/2022 4:10,6635.65,160.36,TRADE
NSW1,9/1/2022 4:15,6594.14,159.3,TRADE
NSW1,9/1/2022 4:20,6663.79,198.61,TRADE
NSW1,9/1/2022 4:25,6655.11,196.43,TRADE
NSW1,9/1/2022 4:30,6664.81,153.33,TRADE
NSW1,9/1/2022 4:35,6669.13,165.81,TRADE
NSW1,9/1/2022 4:40,6733.98,224.66,TRADE
NSW1,9/1/2022 4:45,6734.61,224.15,TRADE
NSW1,9/1/2022 4:50,6817.89,230.94,TRADE
NSW1,9/1/2022 4:55,6840.23,230,TRADE
NSW1,9/1/2022 5:00,6900.9,278,TRADE
NSW1,9/1/2022 5:05,7017.18,289.81,TRADE
NSW1,9/1/2022 5:10,7096.89,230.07,TRADE
NSW1,9/1/2022 5:15,7078.36,228.41,TRADE
NSW1,9/1/2022 5:20,7095.62,255.26,TRADE
NSW1,9/1/2022 5:25,7125.48,228.67,TRADE
NSW1,9/1/2022 5:30,7213.32,287.99,TRADE
NSW1,9/1/2022 5:35,7211.16,148.57,TRADE
NSW1,9/1/2022 5:40,7357.38,148.11,TRADE
NSW1,9/1/2022 5:45,7382.18,148.67,TRADE
NSW1,9/1/2022 5:50,7550.16,154.27,TRADE
NSW1,9/1/2022 5:55,7539.46,150.91,TRADE
NSW1,9/1/2022 6:00,7650.84,157.74,TRADE
NSW1,9/1/2022 6:05,7743.62,149.46,TRADE
NSW1,9/1/2022 6:10,7824.27,149.23,TRADE
NSW1,9/1/2022 6:15,7985.31,152.21,TRADE
